ProductID,BrandName,Category,sub_category,Segment,Price ,Size_Options,Ratings,Reviews,Description
10138727,Roadster,Bottom Wear,jeans,Men,2.81,3,3.7,435,roadster men blue skinny fit mid rise clean look stretchable jeans
10143649,Mast & Harbour,Inner Wear &  Sleep Wear,socks,Men,34.46,4,4.4,435,mast  harbour men set of 3 above ankle length socks
10137101,U.S. Polo Assn.,Inner Wear &  Sleep Wear,lounge-tshirts,Men,27.15,5,4.2,435,us polo assn maroon solid lounge t shirt
10147381,HIGHLANDER,Topwear,shirts,Men,4.69,5,4.2,435,highlander men blue  navy blue slim fit printed casual shirt
10137591,Roadster,Topwear,tshirts,Men,13.15,4,4.2,435,roadster men fast and furious green printed round neck pure cotton t shirt
10149277,HERE&NOW,Indian Wear,palazzos,Women,6.89,5,4.1,435,herenow women red  white printed wide leg palazzos
10138175,Mitera,Indian Wear,sarees,Women,16.71,6,4.2,435,mitera purple  pink silk blend woven design kanjeevaram saree
10136117,Ishin,Indian Wear,kurta-sets,Women,4.38,4,3.9,435,ishin women pink embroidered kurta with trousers  dupatta
10138597,Vishudh,Indian Wear,palazzos,Women,4.07,4,4,435,vishudh women blue  off white printed straight palazzos
10138303,Sangria,Plus Size,tops,Women,4.07,5,4.1,435,sangria women red printed shirt style pure cotton top
10140019,HERE&NOW,Plus Size,kurtas,Women,4.17,5,3.9,435,herenow women maroon  golden floral printed straight kurta
10137525,Moda Rapido,Plus Size,dresses,Women,6.26,5,3.5,435,moda rapido women black  blue printed maxi dress
10138307,STREET 9,Western,tops,Women,4.07,4,4,435,street 9 women white solid tube pure cotton top
10140045,DressBerry,Western,tshirts,Women,4.87,5,4.3,435,dressberry women pack of 2 t shirts
10149231,Roadster,Western,jeggings,Women,11.2,5,4.3,435,the roadster lifestyle co women navy blue solid super skinny fit cropped jeggings
10148409,HOUSE OF KKARMA,Western,shirts,Women,7.83,7,4.1,435,house of kkarma women white pleated casual shirt
10148483,Miss Chase,Western,jeans,Women,8.45,6,4,435,miss chase women grey skinny fit high rise clean look stretchable jeans
10143817,DOLCE CRUDO,Western,jeans,Women,4.51,5,4.3,435,dolce crudo women blue bootcut high rise clean look stretchable jeans
10151895,Tokyo Talkies,Western,tshirts,Women,6.4,5,4.3,435,tokyo talkies women green solid round neck t shirt
10144357,Roadster,Western,tshirts,Women,4.87,5,4.3,435,roadster women black solid round neck pure cotton t shirt
10147127,one8 by Virat Kohli,Inner Wear &  Sleep Wear,innerwear-vests,Men,4.17,5,4.1,434,one8 by virat kohli men pack of 2 white solid innerwear vests 114 po2 white
10146505,HRX by Hrithik Roshan,Sports Wear,sweatshirts,Men,7.99,5,3.9,434,hrx by hrithik roshan outdoor men navy blue solid sweatshirt
10148893,HIGHLANDER,Topwear,shirts,Men,6.89,5,4.1,434,highlander men blue slim fit checked casual shirt
10137983,Roadster,Topwear,shirts,Men,7.83,5,4.3,434,roadster men black  red conversational print sustainable casual shirt
10138075,HERE&NOW,Topwear,shirts,Men,5.01,5,4.4,434,herenow men mustard brown slim fit solid casual shirt
10151409,Harvard,Topwear,tshirts,Men,9.95,6,4.1,434,harvard men black solid polo collar t shirt
10148115,Anouk,Indian Wear,kurtas,Women,4.69,5,4.1,434,anouk women navy blue  red ethnic motifs printed pure cotton kurta
10144051,Popnetic,Indian Wear,kurtas,Women,4.51,5,4.2,434,popnetic women grey  pink printed angrakha a line kurta
